N-Z,N,Z,A,BINDING_energy_per_nucleon(keV),Uncertainty(keV),A^(2/3),A^(-1/3),P,I,B_exp(MeV),B_LDM(MeV),LDM_residual(MeV),D,Sn_exp(MeV),Sp_exp(MeV),S2n_exp(MeV),S2p_exp(MeV)
7,19,12,31,7869.1886,3.3,9.868272403218972,0.31833136784577337,0.0,0.22580645161290325,243.9448466,244.973533535613,-1.0286869356129955,0.8,2.312096600000018,18.885791600000005,8.652427300000028,
5,18,13,31,8225.518,2.4,9.868272403218972,0.31833136784577337,0.0,0.16129032258064513,254.99105799999998,254.25356746785548,0.7374905321445056,1.4285714285714286,7.157910999999984,13.358307999999994,12.88558169999996,32.20864419999998
3,17,14,31,8458.2916,0.0,9.868272403218972,0.31833136784577337,0.0,0.09677419354838712,262.20703960000003,260.3965507606862,1.810488839313848,2.0,6.587392600000044,14.373892600000033,17.196592700000053,26.914620300000053
1,16,15,31,8481.1677,0.0,9.868272403218972,0.31833136784577337,0.0,0.032258064516129004,262.9161987,261.71637234900487,1.1998263509951244,2.2222222222222223,12.311006699999979,7.296551700000009,23.630331499999983,20.810722399999975
-1,15,16,31,8281.8013,0.2,9.868272403218972,0.31833136784577337,0.0,-0.032258064516129004,256.7358403,255.41807058484713,1.3177697151528776,2.2222222222222223,13.054597300000012,6.13064829999999,32.090744900000004,11.72539340000003
-3,14,17,31,7869.2101,3.7,9.868272403218972,0.31833136784577337,0.0,-0.09677419354838701,243.9455131,241.50094405848952,2.4445690415104764,2.0,19.780419100000017,0.2642701000000045,,4.659645899999987
10,21,11,32,7219.8815,40.0,10.079368399158984,0.3149802624737183,-1.0,0.3125,231.03620800000002,233.31635499954436,-2.2801469995443426,0.75,1.6771961999999974,,5.9771530000000155,
8,20,12,32,7803.8411,3.5,10.079368399158984,0.3149802624737183,1.0,0.25,249.7229152,250.9711810498649,-1.2482658498649073,0.0,5.778068599999983,20.36390339999997,8.090165200000001,
6,19,13,32,8100.3449,7.7,10.079368399158984,0.3149802624737183,-1.0,0.1875,259.2110368,258.64165595950277,0.5693808404972174,0.8333333333333334,4.219978800000007,15.266190199999983,11.377889799999991,34.15198179999999
4,18,14,32,8481.469,0.3,10.079368399158984,0.3149802624737183,1.0,0.125,271.40700799999996,269.5546430093392,1.8523649906607602,1.5,9.199968399999932,16.41594999999998,15.787360999999976,29.774257999999975
2,17,15,32,8464.1203,0.0,10.079368399158984,0.3149802624737183,-1.0,0.0625,270.85184960000004,269.05156446720633,1.8002851327937037,1.875,7.9356509000000415,8.644810000000007,20.24665760000002,23.01870260000004
0,16,16,32,8493.1301,0.0,10.079368399158984,0.3149802624737183,1.0,0.0,271.7801632,271.21537664713884,0.5647865528611646,2.0,15.044322899999997,8.863964500000009,28.09892020000001,16.160516200000018
-2,15,17,32,8072.4058,0.6,10.079368399158984,0.3149802624737183,-1.0,-0.0625,258.3169856,256.1529751118062,2.16401048819381,1.875,14.37147250000001,1.5811453000000029,34.15189160000003,7.711793599999993
-4,14,18,32,7700.0089,1.9,10.079368399158984,0.3149802624737183,1.0,-0.125,246.40028479999998,243.75614509518192,2.644139704818059,1.5,,2.4547716999999807,,2.719041799999985
9,21,12,33,7636.4382,2.8,10.288276478101775,0.311765953881872,0.0,0.2727272727272727,252.00246059999998,253.30357585674304,-1.30111525674306,0.8,2.2795453999999893,20.96625259999996,8.057613999999973,
7,20,13,33,8020.6172,7.5,10.288276478101775,0.311765953881872,0.0,0.21212121212121215,264.6803676,265.1727180193426,-0.4923504193425856,0.0,5.469330800000023,14.957452400000022,9.68930960000003,35.32135579999999
